Company Name,Industry,Symbol, Net Income,ROA ,operating cash flow 2020,Long term debt 2019,Long term debt 2020,Current Ratio 2019,Current Ratio 2020,Outstanding Shares in 2019,Outstanding Shares in 2020,Gross margin 2019,Gross margin 2020,Asset Turnover Ratio 2019,Asset Turnover Ratio 2020 ,,,
ACC Ltd.,CEMENT & CEMENT PRODUCTS,ACC,1421,7.8,1356,0,839.8,1.58,1.74,187787263,187787263,8.67,10.26,91.65,76.04,,,
Aarti Industries Ltd.,CHEMICALS,AARTIIND,546,8.46,-556,8148,5808.4,1.33,1.05,86668647,174234474,20.55,23.55,80.32,66.1,,,
Adani Enterprises Ltd.,METALS,ADANIENT,798,2.42,1150,33807.2,39480.8,1.03,1.04,1099810083,1099810083,6.29,6.83,94.92,92.54,,,
Adani Green Energy Ltd.,POWER,ADANIGREEN,-61,-0.12,383,99481.15,129649.97,0.77,0.86,1564014280,1564014280,77.67,60.05,14.04,13.83,,,
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,3788,6.04,2397,199352.8,267486.1,1.41,1.93,2070951761,2070951761,72.8,65.69,19.32,19.08,,,
Adani Total Gas Ltd.,OIL & GAS,ATGL,436,17.61,-70,3457.6,3187.5,1.37,0.94,1099810083,1099810083,31.49,34.09,83.92,75.69,,,
Adani Transmission Ltd.,POWER,ADANITRANS,706,1.86,1044,163041.1,223990.3,0.74,1.48,1099810083,1099810083,41.3,41.62,22.36,28.74,,,
Aditya Birla Capital Ltd.,FINANCIAL SERVICES,ABCAPITAL,615,0.8,2076,354856.2,382696.4,3.63,3.16,2201414624,2413858770,35.09,34.6,13.82,14.66,,,
Aditya Birla Fashion and Retail Ltd.,CONSUMER SERVICES,ABFRL,-165,-1.66,209,7237.8,26777.6,0.83,0.73,773502196,773967409,7.62,14.53,122.6,89.98,,,
Ajanta Pharmaceuticals Ltd.,PHARMA,AJANTPHARM,467,14.09,103,6.6,127.1,3.13,2.71,87254770,87261270,28.58,29.96,76.23,77.97,,,
Alembic Pharmaceuticals Ltd.,PHARMA,APLLTD,800,13.83,-127,4993,9602.9,1.31,1.41,188515914,188515914,22.44,26.66,82.35,76.9,,,
Alkem Laboratories Ltd.,PHARMA,ALKEM,1149,11.33,-73,2313,1592.4,1.9,1.7,119565000,119565000,16.34,18.9,89.63,83.9,,,
Amara Raja Batteries Ltd.,AUTOMOBILE,AMARAJABAT,660,13.21,-17,468,560.1,2.44,2.02,170812500,170812500,14.69,16.86,151.1,136.77,,, 
Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM,3092,5.95,-441,396.8,352.8,1.58,1.38,1985645229,1985645229,19.1,22.25,67.45,61.72,,,
Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,APOLLOHOSP,434,4.01,94,29521.3,47196,1.17,1.13,139125159,139125159,11.38,14.35,104.73,99.19,,,
Apollo Tyres Ltd.,AUTOMOBILE,APOLLOTYRE,476,2.04,172,41663.26,59701.27,1.35,0.96,572049980,572049980,11.86,12.01,86.86,70.22,,,
Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY,456,0.88,420,130096.5,134514.5,1.08,1.03,2935527276,2935527276,15.17,15.22,84.85,57.57,,,
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,2728,16.74,-351,5607,6085.7,1.47,1.73,959197790,959197790,20.78,22.09,118.19,125.11,,,
Astral Ltd.,INDUSTRIAL MANUFACTURING,ASTRAL,251,10.82,-75,1630.83,1090,1.48,1.57,120529765,150662206,15.96,17.65,119.43,112.61,,,
Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA,2844,9.78,871,1799.5,2644.1,1.28,1.44,585915609,585938609,20.99,21.88,73.95,79.85,,,
Avenue Supermarts Ltd.,CONSUMER SERVICES,DMART,95,10.77,-19,1256.7,2211.1,1.7,3.23,624084486,647774691,8.4,8.79,285.54,205.93,,,
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,1879,0.19,29795,1612498.29,1551801.66,,,2619519511,2822022959,,,,,,,
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,4890,19.66,-630,0,0,1.45,1.56,289367020,289367020,21.52,22.12,105.28,112.85,,,
Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV,5992,1.34,1162,638804.6,761217.8,1.87,1.92,159136111,159137290,35.01,33.29,20.43,21.61,,,
Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,BAJAJHLDNG,22,9.12,91,0,1677.7,218.05,144.49,111293510,111293510,81.27,76.7,1.57,1.2,,,
Balkrishna Industries Ltd.,AUTOMOBILE,BALKRISIND,959,14.09,0,22.3,20,1.7,1.23,193317190,193317190,29.18,31.63,80.41,70.68,,,
Bandhan Bank Ltd.,FINANCIAL SERVICES,BANDHANBNK,3024,3.29,2550,5213.51,163791.77,,,1193095986,1610279368,,,,,,,
Bank of Baroda,FINANCIAL SERVICES,BANKBARODA,942,0.07,33120,688675.32,957526.99,,,3846727356,4620566586,,,,,,,
Bank of India,FINANCIAL SERVICES,BANKINDIA,-2929,-0.46,-8250,442651.92,397524.66,,,3276923350,3276923350,,,,,,,
Bata India Ltd.,CONSUMER GOODS,BATAINDIA,328,8.81,-43,0,10353.46,2.92,2.5,128527540,128527540,18.6,29.47,118.47,81.87,,,
Berger Paints India Ltd.,CONSUMER GOODS,BERGEPAINT,664,13.41,21,4318.1,4324,1.69,1.52,971129711,971219780,15.53,17.74,138.94,129.78,,,
Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,BEL,1792,7.49,860,0,18.3,1.52,1.46,2436592943,2436592943,24.49,22,58.42,53.25,,,
Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,BHARATFORG,392,3.02,26,16785.16,19688.36,1.35,1.33,465588632,465588632,22.25,16.16,87.14,69.67,,,
Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,BHEL,-1494,-2.45,607,954.5,753.7,1.66,1.45,3482063355,3482063355,9.16,1.52,47.61,35.92,,,
Bharat Petroleum Corporation Ltd.,OIL & GAS,BPCL,2265,2.02,329,343155.8,438530.7,0.92,0.72,2169252744,2169252744,5.75,3.61,217.79,188.62,,,
Bharti Airtel Ltd.,TELECOM,BHARTIARTL,-31316,-8.92,7674,872454,1154470,0.35,0.58,5130991182,5455557355,33.36,43.88,29.35,24.26,,,
Biocon Ltd.,PHARMA,BIOCON,899,5.18,165,15407,13053,1.61,1.33,1200000000,1200000000,27.89,28,45.22,43.62,,,
Bosch Ltd.,AUTOMOBILE,BOSCHLTD,584,4.87,64,0,521,1.99,1.91,29493640,29493640,22.75,20.62,95.14,73.93,,,
Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA,1393,17.88,16,619.2,7818.7,1.9,1.43,240318294,240551630,17.54,18.29,177.1,147.91,,,
Cadila Healthcare Ltd.,PHARMA,CADILAHC,1175,4.96,398,39497,32291,1.16,1.05,1023727600,1023742600,24.18,20.32,56.06,60.17,,,
Canara Bank,FINANCIAL SERVICES,CANBK,-2023,-0.26,2058,410426.39,427617.67,,,753244775,1453501506,,,,,,,
Castrol India Ltd.,OIL & GAS,CASTROLIND,582,24.35,127,0,0,2.18,2.05,989122384,989122384,31.41,29.23,173.94,125.21,,,
Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES,CHOLAFIN,1054,1.64,322,409765,385592.9,1.73,1.43,781819415,819600759,77.27,72.21,12.32,13.6,,,
Cipla Ltd.,PHARMA,CIPLA,1546,6.53,234,38300.7,25523.6,3.29,2.66,805828425,806271001,21.84,20.72,68.28,72.4,,,
City Union Bank Ltd.,FINANCIAL SERVICES,CUB,476,0.95,1758,0,0,,,65170000,65170000,,,,,,,
Coal India Ltd.,METALS,COALINDIA,16701,11.11,1219,14722.7,19933.8,1.64,1.71,6162728327,6162728327,30.99,29.16,75,63.91,,,
Coforge Ltd.,IT,COFORGE,467,12.9,287,100,706,3.1,2.71,61841234,60538269,19.09,18.9,127.93,121.63,,,
